State,Month,Positive,Negative,id
NC,Mar,1498,21608,37
NC,Apr,10509,117527,37
NC,May,28589,387700,37
NC,Jun,64670,845363,37
NC,Jul,122148,1634954,37
NC,Aug,167313,2088859,37
NC,Sep,207380,2771348,37
ND,Jan,0,0,38
ND,Feb,0,0,38
ND,Mar,117,4131,38
ND,Apr,1067,26393,38
ND,May,2576,69463,38
ND,Jun,3574,102546,38
ND,Jul,6461,147495,38
ND,Aug,11810,189945,38
ND,Sep,20724,216894,38
NE,Jan,0,0,31
NE,Feb,0,0,31
NE,Mar,172,2931,31
NE,Apr,3784,21537,31
NE,May,13905,87237,31
NE,Jun,19042,159115,31
NE,Jul,25766,245190,31
NE,Aug,34046,327305,31
NE,Sep,43596,401533,31
NH,Jan,0,0,33
NH,Feb,0,0,33
NH,Mar,314,5413,33
NH,Apr,2054,19867,33
NH,May,4545,65735,33
NH,Jun,5760,112538,33
NH,Jul,6544,151765,33
NH,Aug,7275,203641,33
NH,Sep,8121,257257,33
NJ,Jan,0,0,34
NJ,Feb,0,0,34
NJ,Mar,18696,27077,34
NJ,Apr,118652,129266,34
NJ,May,160445,585700,34
NJ,Jun,171667,1250707,34
NJ,Jul,181660,1914669,34
NJ,Aug,191960,2665958,34
NJ,Sep,203548,3309718,34
NM,Jan,0,0,35
NM,Feb,0,0,35
NM,Mar,281,12246,35
NM,Apr,3213,61872,35
NM,May,7624,186823,35
NM,Jun,11982,325738,35
NM,Jul,20388,531249,35
NM,Aug,25283,731650,35
NM,Sep,28692,871245,35
NV,Jan,0,0,32
NV,Feb,0,0,32
NV,Mar,1113,10681,32
NV,Apr,4998,36988,32
NV,May,8593,133967,32
NV,Jun,18456,259112,32
NV,Jul,48088,421815,32
NV,Aug,69228,528693,32
NV,Sep,78728,610228,32
NY,Jan,0,0,36
NY,Feb,0,0,36
NY,Mar,75795,129391,36
NY,Apr,304372,596264,36
NY,May,370770,1693055,36
NY,Jun,393454,3521484,36
NY,Jul,415014,5474223,36
NY,Aug,434756,7828277,36
NY,Sep,455626,10052560,36
OH,Jan,0,0,39
OH,Feb,0,0,39
OH,Mar,2199,26992,39
OH,Apr,18027,115863,39
OH,May,35513,355395,39
OH,Jun,51789,736140,39
OH,Jul,91159,1377175,39
OH,Aug,123157,2120947,39
OH,Sep,150809,2920378,39
OK,Jan,0,0,40
OK,Feb,0,0,40
OK,Mar,565,1229,40
OK,Apr,3618,59804,40
OK,May,6506,186700,40
OK,Jun,13757,327840,40
OK,Jul,36487,589091,40
OK,Aug,58733,806545,40
OK,Sep,83510,1075475,40
OR,Jan,0,0,41
OR,Feb,0,0,41
OR,Mar,690,13136,41
OR,Apr,2510,53522,41
OR,May,4243,124958,41
OR,Jun,8656,228978,41
OR,Jul,18492,385701,41
OR,Aug,26713,530515,41
OR,Sep,32820,638670,41
PA,Jan,0,0,42
PA,Feb,0,0,42
PA,Mar,4843,37645,42
PA,Apr,45763,175602,42
PA,May,72546,383111,42
PA,Jun,86606,677581,42
PA,Jul,112048,1104824,42
PA,Aug,134025,1524195,42
PA,Sep,156150,1845070,42
PR,Jan,0,0,
PR,Feb,0,0,
PR,Mar,239,1195,
PR,Apr,1539,9313,
PR,May,3776,60422,
PR,Jun,7465,192686,
PR,Jul,16781,305972,
PR,Aug,33199,305972,
PR,Sep,46304,305972,
RI,Jan,0,0,44
RI,Feb,0,0,44
RI,Mar,568,3544,44
RI,Apr,9016,50100,44
RI,May,14988,98790,44
RI,Jun,16911,137172,44
RI,Jul,19022,186994,44
RI,Aug,21949,251948,44
RI,Sep,24181,305853,44
SC,Jan,0,0,45
SC,Feb,0,0,45
SC,Mar,1083,4616,45
SC,Apr,6095,50417,45
SC,May,11861,188355,45
SC,Jun,36399,344173,45
SC,Jul,89016,603819,45
SC,Aug,118992,830556,45
SC,Sep,145887,1106651,45
SD,Jan,0,0,46
SD,Feb,0,0,46
SD,Mar,108,3609,46
SD,Apr,2449,14579,46
SD,May,4993,39135,46
